Comment,Designator,Footprint,LCSC Part Number
"Capacitor, ceramic, 100nF, 16V","C202,C203,C204,C205,C301,C302,C303,C304,C305,C306,C307,C308,C309,C310,C311,C312,C313,C314,C315,C316,C317,C318,C319,C320,C321,C322,C323,C324,C333,C334,C401,C402,C403,C404,C405,C406,C407,C412,C413,C414,C415,C416,C417,C418,C419,C501,C502,C503,C504,C505,C506,C507,C508,C509,C510,C511,C512,C513,C514,C515,C516,C517,C518,C519,C520,C521,C522,C601,C602,C603,C604,C605,C606,C607,C608,C701,C702,C703,C704,C705,C706,C707,C709,C710,C712",0805,C520082
"Capacitor, ceramic, 220nF, 16V","C325,C326,C327,C328,C329,C330,C331,C332",0805,C113853
"LED, red","D601,D801,D802",0603,C2286
"Resistor, 10K, 125mW","R101,R102,R103,R206,R207,R208,R209,R211,R212,R603,R606,R607,R613,R701,R702,R703,R704,R705,R706,R707",0805,C17414
"Resistor, 470R, 125mW","R201,R604,R801,R803",0805,C17710
"Resistor, 3K3, 125mW","R204,R205,R709",0805,C26010
"Resistor, 33R, 125mW","R210,R301,R608,R609,R610,R611",0805,C17634
"Resistor, 1K, 125mW","R601,R602,R605,R612",0805,C17513
"Resistor, 4K7, 125mW",R708,0805,C17673
ATF1508AS-7AX100,"U301,U601",TQFP-100(14x14),C1521282
IS61C3216AL-12KLI,U302,SOJ-44,C1351200
AS7C4098A-12JINTR,"U305,U306",SOJ-44,C2064107
CY62158H-45ZSXI,"U502,U503,U504,U505,U508,U509,U510,U511",TSOP-II-44,C2950517
DS3231MZ+,U604,SOIC-8,C722467
L272D,U708,SOIC-16,C2935165
MAX16054AZT+T,U801,SOT-23-6,C79401
