Designator,"Mid X","Mid Y",Rotation,Layer
C202,88.9000,-188.9760,-90.0000,top
C203,116.8400,-194.0775,-90.0000,top
C204,108.2040,-148.3360,-90.0000,top
C205,160.2740,-201.6760,-90.0000,top
C301,137.1600,-148.3360,-90.0000,top
C302,137.1600,-178.8160,-90.0000,top
C303,182.8800,-148.3360,-90.0000,top
C304,182.8800,-178.8160,-90.0000,top
C305,182.8800,-209.2960,-90.0000,top
C306,200.6600,-148.3360,-90.0000,top
C307,200.6600,-178.8160,-90.0000,top
C308,215.9000,-148.3360,-90.0000,top
C309,215.9000,-178.8160,-90.0000,top
C310,233.6800,-148.3360,-90.0000,top
C311,233.6800,-173.7360,-90.0000,top
C312,233.6800,-199.1360,-90.0000,top
C313,233.6800,-224.5360,-90.0000,top
C314,248.9200,-224.5360,-90.0000,top
C315,268.9860,-148.3360,-90.0000,top
C316,268.9860,-173.7360,-90.0000,top
C317,268.9860,-199.1360,-90.0000,top
C318,268.9860,-224.5360,-90.0000,top
C319,286.7660,-148.3360,-90.0000,top
C320,286.7660,-178.8160,-90.0000,top
C321,236.7280,-163.3220,-90.0000,top
C322,253.2380,-164.5920,-90.0000,top
C323,236.7280,-198.0985,-90.0000,top
C324,253.2380,-199.3900,-90.0000,top
C325,144.2720,-145.7960,-90.0000,top
C326,144.2720,-153.4375,-90.0000,top
C327,152.9080,-161.2900,-90.0000,top
C328,165.6080,-156.9720,-90.0000,top
C329,165.6080,-149.3520,-90.0000,top
C330,157.9880,-138.4300,-90.0000,top
C331,153.1620,-139.1920,-90.0000,top
C332,155.4480,-161.2900,-90.0000,top
C333,145.1580,-179.8320,-90.0000,top
C334,161.9220,-181.1020,-90.0000,top
C401,137.1600,-216.9160,-90.0000,top
C402,154.4320,-260.0960,-90.0000,top
C403,167.6400,-260.0960,-90.0000,top
C404,185.4200,-257.8100,-90.0000,top
C405,203.2000,-257.8100,-90.0000,top
C406,200.6600,-219.4560,-90.0000,top
C407,215.9000,-219.4560,-90.0000,top
C412,260.0960,-122.1740,-90.0000,top
C413,260.0960,-129.7940,-90.0000,top
C414,268.7320,-137.6680,-90.0000,top
C415,271.2720,-137.6680,-90.0000,top
C416,281.4320,-133.0960,-90.0000,top
C417,281.4320,-125.7300,-90.0000,top
C418,273.8120,-114.5540,-90.0000,top
C419,269.2400,-114.5540,-90.0000,top
C501,291.5920,-265.1760,-90.0000,top
C502,312.1660,-120.3960,-90.0000,top
C503,333.7560,-120.3960,-90.0000,top
C504,296.1640,-241.0460,-90.0000,top
C505,313.9440,-241.7900,-90.0000,top
C506,315.9760,-241.0280,-90.0000,top
C507,333.7560,-241.7900,-90.0000,top
C508,296.1640,-268.9860,-90.0000,top
C509,313.9440,-269.9840,-90.0000,top
C510,315.9760,-269.2220,-90.0000,top
C511,333.7560,-269.9625,-90.0000,top
C512,296.1640,-185.1875,-90.0000,top
C513,313.9440,-185.9495,-90.0000,top
C514,315.9760,-185.1660,-90.0000,top
C515,333.7560,-185.9280,-90.0000,top
C516,296.1640,-213.1060,-90.0000,top
C517,313.9440,-213.8680,-90.0000,top
C518,315.9760,-213.1060,-90.0000,top
C519,333.7560,-213.8680,-90.0000,top
C520,264.6680,-270.2560,-90.0000,top
C521,264.6680,-274.3200,-90.0000,top
C522,264.6680,-259.0800,-90.0000,top
C601,146.8120,-125.4760,-90.0000,top
C602,136.6520,-108.9660,-90.0000,top
